Airport,Runway
465. Surabaya (SUB),9843 (3001 m)
466. Turaif (TUI),9843 (3001 m)
467. Enugu (ENU),9843 (3001 m)
468. Tokyo (HND),9843 (3001 m)
469. Istanbul (IST),9842 (3001 m)
470. Phnom Penh (PNH),9842 (3001 m)
471. Rovaniemi (RVN),9842 (3001 m)
472. Bali (DPS),9842 (3001 m)
473. Cali (CLO),9842 (3001 m)
474. Palembang (PLM),9842 (3001 m)
475. Dalaman (DLM),9842 (3001 m)
476. Davao (DVO),9842 (3001 m)
477. Asmara (ASM),9842 (3001 m)
478. Valencia (VLN),9842 (3001 m)
479. Dar Es Salaam (DAR),9842 (3001 m)
480. Abidjan (ABJ),9842 (3001 m)
481. Eindhoven (EIN),9842 (3001 m)
482. Nukus (NCU),9842 (3001 m)
483. Luxor (LXR),9842 (3001 m)
484. Alicante (ALC),9842 (3001 m)
485. Ouarzazate (OZZ),9842 (3001 m)
486. Nagasaki (NGS),9840 (3000 m)
487. Salta (SLA),9836 (2999 m)
488. Larnaca (LCA),9823 (2995 m)
489. Bergen (BGO),9810 (2991 m)
490. Oklahoma City (OKC),9802 (2988 m)
491. Hilo (ITO),9800 (2988 m)
492. Mahe Island (SEZ),9800 (2988 m)
493. Prestwick (PIK),9800 (2988 m)
494. Guatemala City (GUA),9793 (2986 m)
495. San Juan (SJU),9783 (2983 m)
496. El Fasher (ELF),9744 (2971 m)
497. Nice (NCE),9711 (2961 m)
498. Monastir (MIR),9678 (2951 m)
499. Pula (PUY),9678 (2951 m)
500. Hamilton (BDA),9669 (2948 m)
501. Malabo (SSG),9647 (2941 m)
502. Sanford (SFB),9600 (2927 m)
503. Abbotsford (YXX),9597 (2926 m)
504. Genoa (GOA),9564 (2916 m)
505. Aleppo (ALP),9547 (2911 m)
506. Nantes (NTE),9514 (2901 m)
507. Moroni (HAH),9514 (2901 m)
508. Windsor Locks (BDL),9510 (2899 m)
509. Omaha (OMA),9502 (2897 m)
510. Missoula (MSO),9501 (2897 m)
511. Midland (MAF),9501 (2897 m)
512. Whitehorse (YXY),9500 (2896 m)
513. Ketchikan (KTN),9500 (2896 m)
514. East Midlands (EMA),9491 (2894 m)
515. Doncaster (DSA),9491 (2894 m)
516. Sochi (AER),9482 (2891 m)
517. Palmyra (PMS),9449 (2881 m)
518. Omsk (OMS),9435 (2877 m)
519. San Diego (SAN),9401 (2866 m)
520. Manta (MEC),9383 (2861 m)
521. Douala (DLA),9359 (2853 m)
522. Badajoz (BJZ),9357 (2853 m)
523. Savannah (SAV),9351 (2851 m)
524. Dresden (DRS),9351 (2851 m)
525. Gwangju (KWJ),9300 (2835 m)
526. Comodoro Rivadavia (CRD),9275 (2828 m)
527. Cheyenne (CYS),9270 (2826 m)
528. Manchester (MHT),9250 (2820 m)
529. Fresno (FAT),9227 (2813 m)
530. Kangerlussuaq (SFJ),9219 (2811 m)
531. Torp (TRF),9216 (2810 m)
532. Nizhniy Novgorod (GOJ),9203 (2806 m)
533. Cagliari (CAG),9202 (2805 m)
534. Churchill (YYQ),9200 (2805 m)
535. Chita (HTA),9187 (2801 m)
536. N Djamena (NDJ),9186 (2801 m)
537. Maun (MUB),9186 (2801 m)
538. Ibiza (IBZ),9186 (2801 m)
539. Belem (BEL),9186 (2801 m)
540. Bologna (BLQ),9186 (2801 m)
541. Gdansk (GDN),9186 (2801 m)
542. Faya (FYT),9186 (2801 m)
543. Odessa (ODS),9186 (2801 m)
544. Pucallpa (PCL),9186 (2801 m)
545. Latakia (LTK),9175 (2797 m)
546. Punta Arenas (PUQ),9154 (2791 m)
547. Guayaquil (GYE),9154 (2791 m)
548. Mendoza (MDZ),9151 (2790 m)
549. Funchal (FNC),9124 (2782 m)
550. Laoag (LAO),9121 (2781 m)
551. Belfast (BFS),9121 (2781 m)
552. Trondheim (TRD),9052 (2760 m)
553. Rochester (RST),9033 (2754 m)
554. Tirana (TIA),9022 (2751 m)
555. Port Moresby (POM),9022 (2751 m)
556. Torreon (TRC),9022 (2751 m)
557. Hualien (HUN),9022 (2751 m)
558. Salzburg (SZG),9022 (2751 m)
559. Everett (PAE),9010 (2747 m)
560. Madison (MSN),9006 (2746 m)
561. Knoxville (TYS),9005 (2745 m)
562. Richmond (RIC),9003 (2745 m)
563. Antigua (ANU),9003 (2745 m)
564. St. Georges (GND),9003 (2745 m)
565. Des Moines (DSM),9003 (2745 m)
566. Syracuse (SYR),9003 (2745 m)
567. Tindal (KTR),9002 (2745 m)
568. Gulfport (GPT),9002 (2745 m)
569. Charleston (CHS),9001 (2744 m)
570. Quebec (YQB),9000 (2744 m)
571. Jaisalmer (JSA),9000 (2744 m)
572. Fargo (FAR),9000 (2744 m)
573. Fort Lauderdale (FLL),9000 (2744 m)
574. Peshawar (PEW),9000 (2744 m)
575. Aruba (AUA),8999 (2744 m)
576. Sioux Falls (FSD),8999 (2744 m)
577. Grand Canyon (GCN),8999 (2744 m)
578. Nagoya (NKM),8990 (2741 m)
579. Orland (OLA),8904 (2715 m)
580. Kelowna (YLW),8900 (2713 m)
581. Kzyl-Orda (KZO),8875 (2706 m)
582. Laayoune (EUN),8861 (2702 m)
583. Manaus (MAO),8858 (2701 m)
584. Bamako (BKO),8858 (2701 m)
585. Boa Vista (BVB),8858 (2701 m)
586. Nuremberg (NUE),8858 (2701 m)
587. Tampere (TMP),8858 (2701 m)
588. Paphos (PFO),8855 (2700 m)
589. Ulaangom (ULO),8848 (2698 m)
590. Buffalo (BUF),8827 (2691 m)
